,gender,senior,partner,dependents,tenure,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,internet_dsl,internet_fiber,internet_no,contract_month,contract_1_yr,contract_2_yr,payment_bank,payment_credit_card,payment_electronic_check,payment_mailed_check,churn
3184,0,0,1,0,71,1,1,0,1,1,1,1,1,1,83.3,5894.5,1,0,0,0,0,1,0,1,0,0,0
2833,0,0,0,0,66,1,0,1,1,1,0,0,0,1,61.15,4017.45,1,0,0,0,0,1,1,0,0,0,0
3539,1,0,0,0,8,1,0,0,0,0,0,0,0,1,45.15,438.4,1,0,0,1,0,0,0,0,0,1,1
969,0,0,0,0,2,1,1,0,0,0,0,1,1,1,96.0,174.8,0,1,0,1,0,0,0,0,1,0,1
4603,1,0,1,0,3,0,0,1,0,0,1,0,0,0,35.1,101.1,1,0,0,1,0,0,0,0,0,1,0
5751,0,0,0,0,47,1,0,0,0,0,0,0,0,0,20.25,1029.8,0,0,1,0,0,1,0,1,0,0,0
2662,1,0,0,0,2,0,0,0,0,1,0,1,1,1,49.25,90.35,1,0,0,1,0,0,0,0,1,0,1
4094,1,0,0,0,1,1,0,0,0,0,1,0,0,0,74.0,74.0,0,1,0,1,0,0,0,0,1,0,0
6034,0,0,0,0,7,1,0,0,0,0,0,0,0,0,20.25,129.15,0,0,1,0,1,0,0,0,0,1,0
3813,1,0,1,1,69,1,1,0,1,1,0,1,1,1,105.0,7297.75,0,1,0,0,0,1,0,0,1,0,0
2387,1,0,0,0,5,1,1,0,1,1,0,1,1,0,105.3,550.6,0,1,0,1,0,0,0,0,1,0,0
4224,0,0,1,0,71,1,0,0,0,0,0,0,0,0,19.6,1416.5,0,0,1,0,0,1,0,0,0,1,0
6375,0,0,0,0,1,1,0,0,1,0,0,0,0,1,74.3,74.3,0,1,0,1,0,0,0,1,0,0,1
3567,0,0,1,1,14,1,0,0,1,0,1,0,1,1,89.65,1208.35,0,1,0,1,0,0,0,1,0,0,1
4148,0,0,0,0,29,1,0,0,0,0,0,0,0,0,19.35,601.6,0,0,1,1,0,0,0,1,0,0,0
2646,1,0,0,0,56,1,0,0,1,1,1,1,1,1,81.8,4534.45,1,0,0,0,0,1,0,1,0,0,0
6626,1,1,1,0,6,1,0,0,0,1,0,1,1,1,95.75,573.75,0,1,0,1,0,0,0,0,1,0,1
252,1,1,1,0,1,0,0,0,1,0,0,1,0,0,40.2,40.2,1,0,0,1,0,0,0,0,1,0,1
5435,0,0,1,1,46,1,0,0,0,1,1,0,1,0,90.95,4236.6,0,1,0,0,1,0,1,0,0,0,0
4554,1,0,0,0,20,1,0,1,1,1,1,1,1,1,108.2,2203.7,0,1,0,1,0,0,1,0,0,0,0
3975,0,1,0,0,20,1,1,0,0,0,0,0,1,1,85.8,1727.5,0,1,0,1,0,0,0,1,0,0,1
4847,0,1,0,0,37,1,1,0,0,0,0,0,0,1,76.25,2841.55,0,1,0,1,0,0,0,0,1,0,1
5719,0,0,1,1,24,1,0,0,0,0,0,0,0,1,19.7,494.05,0,0,1,0,0,1,0,0,0,1,0
2818,1,0,1,1,29,1,0,1,0,0,0,1,1,0,94.65,2649.15,0,1,0,1,0,0,0,1,0,0,1
1702,0,0,1,0,21,1,1,1,0,1,0,1,1,1,104.4,2200.25,0,1,0,1,0,0,1,0,0,0,1
4428,1,0,1,1,19,1,1,0,0,1,1,1,1,0,103.3,2012.7,0,1,0,1,0,0,0,0,1,0,1
4808,0,0,0,0,54,1,0,1,0,1,1,1,1,0,80.6,4299.95,1,0,0,0,0,1,0,0,1,0,0
3790,1,0,0,0,2,1,0,0,0,0,0,0,0,0,19.3,28.3,0,0,1,0,1,0,0,1,0,0,1
5722,0,1,1,0,27,1,1,1,0,0,1,1,1,1,104.3,2867.75,0,1,0,1,0,0,1,0,0,0,1
4041,1,0,0,0,46,0,0,1,0,1,1,1,1,1,60.75,2893.4,1,0,0,0,0,1,1,0,0,0,0
2094,0,0,0,0,18,1,0,0,0,0,0,0,0,0,19.65,391.7,0,0,1,1,0,0,0,0,0,1,0
2843,0,0,1,1,52,1,0,0,0,0,0,0,0,0,19.85,1070.5,0,0,1,0,0,1,0,0,0,1,0
641,0,0,1,1,43,1,0,0,0,0,0,1,0,0,56.15,2499.3,1,0,0,1,0,0,0,0,1,0,1
6140,0,0,0,0,3,1,0,0,0,0,0,0,0,0,19.95,58.0,0,0,1,1,0,0,0,0,0,1,0
3882,1,0,0,0,4,1,0,0,0,0,0,0,0,1,44.8,176.2,1,0,0,1,0,0,0,1,0,0,0
4405,1,0,1,1,6,1,0,0,1,0,0,0,1,1,83.55,477.55,0,1,0,1,0,0,0,1,0,0,1
297,1,1,1,0,35,1,1,0,0,1,0,1,1,1,100.8,3437.5,0,1,0,1,0,0,0,0,1,0,0
303,0,0,1,1,68,0,0,0,1,1,1,1,1,0,60.3,4109.0,1,0,0,0,0,1,0,1,0,0,0
2406,0,0,0,0,5,1,0,0,1,0,0,1,1,1,96.25,512.45,0,1,0,1,0,0,0,0,1,0,1
5816,0,0,0,0,3,1,0,0,0,0,0,0,0,0,44.6,122.7,1,0,0,1,0,0,0,0,1,0,0
3154,0,1,0,0,4,1,0,0,1,0,0,0,0,0,72.75,317.75,0,1,0,1,0,0,0,0,1,0,0
1839,0,0,0,0,4,1,1,0,0,0,0,0,0,1,25.3,116.95,0,0,1,0,0,1,0,1,0,0,0
4384,0,0,1,0,2,1,0,0,1,1,0,0,0,0,79.7,165.0,0,1,0,1,0,0,1,0,0,0,1
4306,1,0,1,1,40,1,1,1,1,0,1,1,1,1,110.1,4469.1,0,1,0,1,0,0,0,1,0,0,0
655,1,0,0,0,10,1,0,0,0,0,1,1,1,1,95.1,865.1,0,1,0,1,0,0,0,1,0,0,0
4139,1,1,0,0,24,1,1,0,1,0,0,0,0,1,80.5,2088.45,0,1,0,1,0,0,0,0,1,0,0
4686,0,1,0,0,72,1,1,1,1,1,1,0,1,1,107.4,7748.75,0,1,0,0,0,1,1,0,0,0,0
4775,0,0,1,0,24,1,0,0,1,1,0,1,1,1,99.3,2431.35,0,1,0,1,0,0,0,1,0,0,1
240,0,0,0,0,72,1,1,0,1,1,1,1,1,0,86.6,6350.5,1,0,0,0,0,1,1,0,0,0,0
783,0,0,0,0,1,1,0,0,0,0,1,0,0,1,52.2,52.2,1,0,0,1,0,0,0,0,1,0,1
1354,0,0,0,0,18,1,1,0,0,0,1,1,0,1,88.35,1639.3,0,1,0,1,0,0,0,0,1,0,1
1018,1,0,0,0,4,0,0,0,0,0,1,0,1,1,40.05,162.45,1,0,0,1,0,0,0,0,1,0,0
4912,1,1,0,0,36,1,1,1,0,0,0,1,0,1,90.85,3186.7,0,1,0,1,0,0,0,0,1,0,1
977,0,0,0,0,11,1,1,0,0,0,0,0,0,0,75.25,888.65,0,1,0,1,0,0,0,0,1,0,0
809,1,0,0,0,1,1,0,0,0,0,0,0,0,1,69.55,69.55,0,1,0,1,0,0,0,0,1,0,1
6755,1,0,0,0,42,1,1,0,0,1,0,0,0,0,79.9,3313.4,0,1,0,1,0,0,0,0,1,0,0
5036,0,1,1,0,16,1,1,0,0,0,0,0,1,1,85.35,1375.15,0,1,0,1,0,0,0,1,0,0,1
257,1,0,0,0,50,1,1,1,1,1,1,1,1,0,114.35,5791.1,0,1,0,0,1,0,0,1,0,0,0
893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.6,24.6,1,0,0,1,0,0,0,0,1,0,1
5936,0,0,1,1,38,1,0,0,0,0,0,0,0,1,19.95,756.4,0,0,1,0,0,1,0,0,0,1,0
4366,1,1,1,1,24,1,1,1,0,0,0,0,0,1,79.85,1857.75,0,1,0,1,0,0,0,0,1,0,0
3589,1,0,1,1,31,1,1,0,0,0,0,0,1,0,59.7,1825.5,1,0,0,1,0,0,1,0,0,0,0
5162,1,0,0,1,8,1,0,0,0,0,0,0,0,0,19.45,159.2,0,0,1,1,0,0,1,0,0,0,0
5229,0,1,1,0,43,1,1,0,0,1,1,1,1,1,107.55,4533.9,0,1,0,0,1,0,0,0,1,0,1
5167,0,0,1,0,57,1,0,1,1,0,1,1,0,1,70.35,4124.65,1,0,0,0,0,1,0,1,0,0,0
3288,0,0,1,1,13,1,0,0,0,0,0,0,0,0,20.85,272.35,0,0,1,0,0,1,0,0,0,1,0
6698,1,0,0,0,40,1,0,0,1,0,1,0,1,1,89.6,3488.15,0,1,0,0,1,0,0,1,0,0,0
2132,1,0,1,1,23,1,0,0,0,0,0,0,0,0,19.65,436.9,0,0,1,0,1,0,0,0,0,1,0
6243,0,0,1,1,72,1,1,1,1,1,0,1,1,1,83.6,5959.3,1,0,0,0,0,1,0,1,0,0,0
5520,0,0,0,0,55,1,1,1,0,1,0,0,0,1,84.25,4589.85,0,1,0,0,1,0,0,1,0,0,0
1357,1,0,1,0,48,1,1,1,1,1,0,1,1,1,111.45,5315.1,0,1,0,1,0,0,1,0,0,0,0
1561,1,0,0,0,1,1,1,0,0,0,0,0,0,1,74.95,74.95,0,1,0,1,0,0,0,0,1,0,1
6054,0,0,1,1,36,1,1,0,1,1,0,1,0,1,97.35,3457.9,0,1,0,1,0,0,1,0,0,0,1
2251,1,0,0,0,11,1,0,0,0,1,0,1,1,1,69.35,712.25,1,0,0,1,0,0,0,0,1,0,0
5474,0,0,0,0,1,1,1,0,0,0,0,1,0,1,84.6,84.6,0,1,0,1,0,0,0,0,1,0,0
2471,0,0,1,0,53,1,1,0,1,0,0,1,1,1,98.4,5149.5,0,1,0,1,0,0,0,1,0,0,1
3133,1,0,1,0,70,0,0,0,1,1,1,0,1,1,51.05,3635.15,1,0,0,0,1,0,1,0,0,0,0
2024,1,0,0,0,12,1,0,0,0,1,0,1,1,0,95.7,1184.0,0,1,0,0,1,0,0,0,1,0,0
4687,1,0,1,0,22,1,0,0,0,1,0,1,1,1,94.7,1914.9,0,1,0,1,0,0,0,1,0,0,1
2986,0,0,1,1,55,1,0,0,0,0,0,0,0,1,69.05,3842.6,0,1,0,0,0,1,0,1,0,0,0
2042,0,1,0,0,28,1,1,0,1,1,1,0,0,0,64.45,1867.6,1,0,0,1,0,0,1,0,0,0,0
4905,0,0,1,1,58,1,0,0,0,0,0,0,0,1,19.85,1158.85,0,0,1,0,0,1,0,0,0,1,0
2876,1,0,0,0,19,1,0,0,0,0,0,0,0,1,19.7,386.5,0,0,1,0,1,0,0,1,0,0,0
2669,0,0,0,0,19,1,1,1,1,0,0,0,1,1,95.15,1789.25,0,1,0,1,0,0,0,0,1,0,1
4756,1,0,0,0,31,1,0,1,1,1,1,1,0,1,72.45,2156.25,1,0,0,1,0,0,1,0,0,0,0
5728,0,0,0,0,13,1,1,0,1,1,1,0,0,0,89.4,1132.35,0,1,0,1,0,0,0,0,1,0,1
4098,1,0,0,0,1,1,0,0,0,0,0,0,0,1,20.2,20.2,0,0,1,1,0,0,0,0,0,1,1
7018,1,0,1,1,1,1,0,0,0,0,0,0,0,1,70.65,70.65,0,1,0,1,0,0,0,0,0,1,1
3806,0,1,0,0,18,1,0,0,1,0,0,0,0,1,73.55,1359.45,0,1,0,1,0,0,0,0,1,0,0
6842,1,0,0,0,13,1,0,0,0,0,0,0,0,1,19.95,257.0,0,0,1,0,1,0,0,0,0,1,0
3475,0,0,1,1,2,1,0,0,0,0,0,0,0,0,20.3,31.9,0,0,1,0,1,0,0,0,0,1,0
1092,1,0,1,0,70,1,0,1,1,1,1,0,0,0,64.95,4523.25,1,0,0,0,0,1,0,1,0,0,0
5867,1,1,1,0,44,1,0,0,0,0,0,0,0,1,19.35,847.25,0,0,1,0,0,1,0,1,0,0,0
124,0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0,1,1,0,0,0,0,0,1,0
4152,1,0,1,0,65,1,1,1,0,1,1,0,1,0,76.15,4929.55,1,0,0,0,0,1,1,0,0,0,0
6882,0,1,0,0,71,1,1,1,1,0,1,1,0,1,99.65,7181.25,0,1,0,0,1,0,0,1,0,0,0
4489,0,0,1,1,64,1,1,0,1,0,0,0,0,1,53.85,3399.85,1,0,0,0,1,0,1,0,0,0,0
2922,0,0,1,0,28,1,0,1,0,0,0,1,1,1,92.35,2602.9,0,1,0,1,0,0,0,0,0,1,1
2516,0,1,0,0,16,1,1,0,0,0,0,1,1,1,96.4,1581.2,0,1,0,1,0,0,0,0,1,0,1
6038,0,0,1,1,70,1,1,1,1,1,1,1,1,1,114.2,7723.9,0,1,0,0,0,1,1,0,0,0,1
1553,0,0,1,1,39,1,0,0,0,1,1,0,0,1,81.5,3107.3,0,1,0,1,0,0,1,0,0,0,0
3482,1,0,0,0,19,1,0,0,0,0,0,0,0,1,45.0,865.85,1,0,0,1,0,0,1,0,0,0,0
2886,0,0,0,0,60,1,0,1,0,1,1,1,1,1,104.95,6236.75,0,1,0,1,0,0,1,0,0,0,0
598,1,0,1,0,51,1,1,0,1,0,0,0,1,1,90.35,4614.55,0,1,0,0,1,0,0,1,0,0,0
75,0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,1,0,0,1,0,0,0,1,0,0
1339,1,0,1,0,66,1,1,0,1,1,0,1,1,1,105.0,7133.25,0,1,0,1,0,0,0,1,0,0,1
1416,0,0,1,1,58,0,0,0,0,1,1,1,1,1,55.5,3166.9,1,0,0,0,0,1,0,1,0,0,0
4772,0,0,1,1,69,1,0,0,1,1,1,0,0,0,59.1,4134.7,1,0,0,0,1,0,1,0,0,0,0
1649,0,0,0,0,27,1,0,0,1,0,1,0,0,1,56.15,1439.35,1,0,0,1,0,0,0,0,0,1,0
5652,0,0,0,0,1,1,0,0,1,0,0,0,0,1,48.6,48.6,1,0,0,1,0,0,0,0,1,0,0
3206,0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.0,109.2,0,0,1,1,0,0,0,0,0,1,0
4024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,25.05,189.95,1,0,0,1,0,0,1,0,0,0,0
2829,1,1,0,0,8,1,0,0,0,0,0,0,0,1,69.7,560.85,0,1,0,1,0,0,0,0,1,0,1
149,1,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,1,0,0,1,0,0,0,0,0,1,0
3001,1,0,0,0,9,1,0,0,0,0,0,0,0,0,20.4,181.8,0,0,1,1,0,0,0,0,0,1,0
1557,1,0,0,0,12,1,1,1,1,0,1,0,0,1,67.25,832.3,1,0,0,1,0,0,0,0,1,0,0
3931,0,0,1,0,25,1,0,1,1,0,1,0,1,1,71.05,1837.7,1,0,0,1,0,0,0,0,0,1,0
453,0,0,1,1,28,1,0,0,0,0,0,0,1,1,81.05,2227.1,0,1,0,1,0,0,0,0,1,0,1
4427,0,0,0,0,49,1,0,0,0,1,1,1,1,0,100.65,4917.75,0,1,0,0,0,1,0,1,0,0,0
1832,1,1,1,0,57,0,0,0,0,0,0,1,1,1,44.85,2572.95,1,0,0,1,0,0,0,0,1,0,1
3250,1,0,1,0,11,1,0,0,0,0,0,0,0,1,20.55,184.95,0,0,1,0,1,0,0,0,0,1,0
5663,0,0,1,1,37,1,1,0,0,0,0,1,1,1,95.25,3314.15,0,1,0,1,0,0,0,0,1,0,0
808,1,0,1,0,40,1,1,0,1,0,0,1,1,1,101.3,4113.1,0,1,0,1,0,0,0,0,1,0,1
2002,1,0,0,0,54,0,0,1,0,0,1,1,0,0,45.2,2460.55,1,0,0,0,0,1,0,1,0,0,0
3353,1,0,1,0,12,1,0,0,1,0,0,0,1,1,85.05,999.8,0,1,0,1,0,0,0,1,0,0,0
3824,1,0,0,0,4,1,0,0,0,0,0,0,1,1,55.3,238.5,1,0,0,1,0,0,0,0,0,1,0
1671,1,0,1,1,66,1,0,1,1,1,0,1,1,1,103.15,7031.3,0,1,0,0,1,0,1,0,0,0,0
1119,1,0,1,1,70,0,0,1,0,1,1,1,1,0,59.5,4144.8,1,0,0,0,0,1,1,0,0,0,0
4353,0,0,0,0,1,1,0,0,0,1,0,0,0,1,74.9,74.9,0,1,0,1,0,0,0,0,1,0,1
810,1,0,0,0,58,1,1,0,1,1,0,1,1,1,103.25,6017.65,0,1,0,0,1,0,1,0,0,0,1
1129,1,1,0,0,47,1,1,0,0,0,0,1,0,1,86.05,3865.6,0,1,0,1,0,0,0,1,0,0,0
834,0,1,0,0,4,1,0,0,0,0,0,1,0,1,78.85,292.8,0,1,0,1,0,0,0,0,1,0,1
6124,0,0,1,1,57,1,0,1,0,1,1,0,0,1,59.3,3274.35,1,0,0,0,1,0,0,0,0,1,0
5413,0,0,0,0,15,1,0,0,0,1,0,1,1,1,94.0,1505.45,0,1,0,1,0,0,0,1,0,0,0
6732,0,0,0,0,24,1,1,0,0,0,1,0,1,1,89.55,2259.35,0,1,0,1,0,0,0,0,1,0,0
1971,0,0,0,0,20,1,0,0,0,0,0,0,0,1,19.35,433.75,0,0,1,0,1,0,0,1,0,0,0
1235,1,1,1,0,61,1,1,0,1,1,1,1,0,1,98.3,6066.55,0,1,0,0,1,0,0,0,0,1,0
1225,0,0,1,0,16,0,0,0,0,0,1,1,1,1,49.95,810.2,1,0,0,1,0,0,0,0,1,0,1
4051,0,0,1,0,72,1,1,0,1,0,0,1,1,1,97.7,6869.7,0,1,0,0,0,1,0,1,0,0,0
2344,0,1,0,0,14,0,0,1,0,1,1,0,0,0,39.7,692.35,1,0,0,0,0,1,0,0,0,1,0
6227,1,0,0,0,2,1,0,0,0,0,0,0,0,0,46.05,80.35,1,0,0,1,0,0,1,0,0,0,1
4352,1,0,1,1,64,1,1,1,1,1,0,0,0,1,91.8,5960.5,0,1,0,1,0,0,0,0,1,0,0
2273,1,0,1,0,30,1,0,0,0,0,0,0,0,0,19.8,576.65,0,0,1,0,1,0,0,1,0,0,0
1729,1,0,1,0,64,1,1,1,1,1,0,0,0,0,89.45,5692.65,0,1,0,0,1,0,1,0,0,0,0
6785,1,0,0,0,61,1,1,1,0,1,1,1,1,1,111.6,6876.05,0,1,0,0,0,1,0,1,0,0,1
2181,0,0,1,1,50,1,1,0,1,1,1,1,1,1,84.15,4164.4,1,0,0,0,1,0,0,1,0,0,0
1027,0,0,0,0,47,1,1,1,0,1,0,1,0,0,94.9,4615.25,0,1,0,0,1,0,0,1,0,0,0
3082,1,0,0,0,51,1,1,1,0,0,1,0,0,0,59.9,3043.6,1,0,0,0,1,0,0,1,0,0,0
5205,0,0,0,0,37,1,1,1,1,1,0,0,0,0,91.2,3382.3,0,1,0,1,0,0,1,0,0,0,0
349,0,1,1,0,64,1,0,1,1,1,0,0,1,0,97.0,6430.9,0,1,0,0,1,0,1,0,0,0,0
